id, code,       bunban,     title,      credit,     day_time,   prof,       num_of_std, english,    abeek,      notice,     comment,    year, semester,   dept       
﻿NULL,KOR2001,01,국어학입문,3,"월 15:00~16:15 X234 , 수 16:30~17:45",이정훈,82,,,,,2008,FAL,KOR
NULL,KOR3003,01,국어의문장구조,3,"화,목 13:30~14:45 X131",서정목,20,,,,,2008,FAL,KOR
NULL,KOR3202,01,한문II,3,"화,목 09:00~10:15 X332",정요일,13,,,,,2008,FAL,KOR
NULL,KOR3300,01,고전문학사,3,"월 10:30~11:45 X331 , 수 12:00~13:15",류정월,48,,,,,2008,FAL,KOR
NULL,KOR3306,01,시조와가사론,3,"월 15:00~16:15 X133 , 수 16:30~17:45",성호경,20,,,,,2008,FAL,KOR
NULL,KOR3307,01,고전소설론,3,"월 12:00~13:15 X429 , 금 10:30~11:45",김문희,60,,,,,2008,FAL,KOR
NULL,KOR3308,01,민속학개론,3,"수,금 13:30~14:45 X331",송효섭,27,,,,,2008,FAL,KOR
NULL,KOR3405,01,현대시텍스트읽기II,3,"화,목 10:30~11:45 X231",김승희,38,,,,,2008,FAL,KOR
NULL,KOR3406,01,현대소설텍스트읽기II,3,"수,금 13:30~14:45 X234",오윤호,49,,,,,2008,FAL,KOR
NULL,KOR3415,01,문예창작론,3,"화,목 15:00~16:15 X231",김승희,18,,,,,2008,FAL,KOR
NULL,KOR4001,01,국어학연습,3,"화,목 15:00~16:15 X227",곽충구,42,,,,,2008,FAL,KOR
NULL,KOR4300,01,고전문학연습,3,"화,목 10:30~11:45 X331",정요일,44,,,,,2008,FAL,KOR
NULL,KOR4400,01,현대문학연습,3,"화,목 12:00~13:15 X325",이상란,45,,,,,2008,FAL,KOR
NULL,HIS2002,01,현대세계의역사적이해,3,"화,목 12:00~13:15 X430",조병한,20,,,,,2008,FAL,HIS
NULL,HIS2002,02,현대세계의역사적이해,3,"화,목 12:00~13:15 X331",허구생,34,,,,,2008,FAL,HIS
NULL,HIS2003,01,한국사개론,3,"월 10:30~11:45 X434 , 수 12:00~13:15",조범환,63,,,,,2008,FAL,HIS
NULL,HIS2004,01,동아시아사개론,3,"월 13:30~14:45 X434 , 금 12:00~13:15",방향숙,80,,,,,2008,FAL,HIS
NULL,HIS3001,01,한국고대사,3,"화,목 10:30~11:45 X133",이종욱,63,,,,,2008,FAL,HIS
NULL,HIS3006,01,중국고대사,3,"월 15:00~16:15 X331 , 수 16:30~17:45",이인철,42,,,,,2008,FAL,HIS
NULL,HIS3010,01,중국현대사,3,"화,목 15:00~16:15 X229",조병한,24,,,,,2008,FAL,HIS
NULL,HIS3014,01,일본사개설,3,"월 09:00~10:15 X234 , 수 10:30~11:45",윤병남,69,,,,,2008,FAL,HIS
NULL,HIS3021,01,서양고대사,3,"화,목 16:30~17:45 X133",오흥식,64,,,,,2008,FAL,HIS
NULL,HIS3023,01,르네상스와종교개혁사,3,"화,목 10:30~11:45 X429",김영한,44,,,,,2008,FAL,HIS
NULL,HIS3030,01,영국사개설,3,"화,목 09:00~10:15 X331",박우룡,33,,,,,2008,FAL,HIS
